Doc ID,Filer Name,Member Name,State,District,Year,Destination,Filing Type,Departure Date,Return Date,Travel Sponsor
500012929,"Eulice ""Brandon"" Garrett","Kelly, Robin",IL,2,2015,"Miami, FL",Original,1/9/2015,1/10/2015,National Railroad Construction and Maintenance Association (NRC)
500012930,Jim Billimoria,"Shuster, Bill",PA,9,2015,"Las Vegas, NV",Original,1/5/2015,1/7/2015,Consumer Electronics Association
500012931,Jason Larrabee,"Denham, Jeff",CA,10,2015,"Ft. Lauderdale, FL",Original,1/8/2015,1/11/2015,National Railroad Construction and Maintenance Association
500012932,Joseph Lustig,"Richmond, Cedric",LA,2,2015,"Las Vegas, NV",Original,1/6/2015,1/8/2015,Consumer Electronics Association
500012933,Melissa Medina,"Royce, Edward",CA,39,2015,"Las Vegas, NV",Original,1/7/2015,1/9/2015,Consumer Electronics Association
500012934,Steven Carlson,"Capuano, Michael",MA,7,2015,"Las Vegas, NV",Original,1/5/2015,1/7/2015,Consumer Electronics Association
500012936,Ellen Dargie,"Issa, Darrell",CA,49,2015,"Las Vegas, NV",Original,1/6/2015,1/8/2015,Consumer Electronics Association
500012937,Benjamin Elleson,"Long, Billy",MO,7,2015,"Las Vegas, NV",Original,1/6/2015,1/8/2015,Consumer Electronics Association
500012938,Norberto Salinas,"Conyers, John",MI,13,2015,"Las Vegas, NV",Original,1/5/2015,1/7/2015,Consumer Electronics Association
500012939,Peter Stehouwer,"Long, Billy",MO,7,2015,"Las Vegas, NV",Original,1/6/2015,1/8/2015,Consumer Electronics Association
500012940,Kirsten Donaldson,"Jeffries, Hakeem",NY,8,2015,"Las Vegas, NV",Original,1/5/2015,1/7/2015,Consumer Electronics Association
500012941,Exodie Roe,"McNerney, Jerry",CA,9,2015,"New York, NY",Original,1/11/2015,1/12/2015,National Retail Federation
500012942,Jerry McNerney,"McNerney, Jerry",CA,9,2015,"New York, NY",Original,1/11/2015,1/12/2015,National Retail Federation
500012943,Rachel Schwegman,"Latta, Robert",OH,5,2015,"Las Vegas, NV",Original,1/6/2015,1/8/2015,Consumer Electronics Association
500012944,Thomas C. Ullrich,"Goodlatte, Bob",VA,6,2015,"Las Vegas, NV",Original,1/6/2015,1/9/2015,Consumer Electronics Association
500012945,Joshua Baggett,"Kinzinger, Adam",IL,16,2015,"Las Vegas, NV",Original,1/6/2015,1/8/2015,Consumer Electronics Association
500012946,Stephen Dwyer,"Hoyer, Steny",MD,5,2015,"Las Vegas, NV",Original,1/5/2015,1/7/2015,Consumer Electronics Association
500012947,Melissa Froelich,"Upton, Fred",MI,6,2015,"Las Vegas, NV",Original,1/5/2015,1/7/2015,Consumer Electronics Association
500012948,Melissa Froelich,"Upton, Fred",MI,6,2015,"New York, NY",Original,1/10/2015,1/11/2015,National Retail Federation
500012949,Shilpa Rajan,"McNerney, Jerry",CA,9,2015,"Las Vegas, NV",Original,1/6/2015,1/8/2015,Consumer Electronics Association
500012950,Jerry McNerney,"McNerney, Jerry",CA,9,2015,"New York, NY",Amendment,1/11/2015,1/12/2015,National Retail Federation
500012951,Exodie Roe,"McNerney, Jerry",CA,9,2015,"New York, NY",Amendment,1/11/2015,1/12/2015,National Retail Federation
500012952,Anthony Grossi,"Goodlatte, Bob",VA,6,2015,"Las Vegas, NV",Original,1/6/2015,1/8/2015,Consumer Electronics Association
500012953,Joel David Grossman,"Eshoo, Anna",CA,18,2015,"Las Vegas, NV",Original,1/6/2015,1/8/2015,Consumer Electronics Association
500012954,Philip Murphy,"Doyle, Michael",PA,14,2015,"Las Vegas, NV",Original,1/7/2015,1/8/2015,Consumer Electronics Association
500012955,Elizabeth Decker,"Titus, Dina",NV,1,2015,"Las Vegas, NV",Original,1/7/2015,1/11/2015,Consumer Electronics Association
500012956,Jena Gross,"Eshoo, Anna",CA,18,2015,"Las Vegas, NV",Original,1/6/2015,1/8/2015,Consumer Electronics Association
500012957,Austin Carson,"Farenthold, Blake",TX,27,2015,"Las Vegas, NV",Original,1/7/2015,1/9/2015,Consumer Electronic Association
500012958,Jaclyn Louis,"Marino, Tom",PA,10,2015,"Las Vegas, NV",Original,1/5/2015,1/8/2015,Consumer Electronics Association
500012959,Erik Fawcett,"Moore, Gwen",WI,4,2015,"Las Vegas, NV",Original,1/7/2015,1/11/2015,Consumer Electronics Association
500012960,Charlotte Savercool,"Upton, Fred",MI,6,2015,"Las Vegas, NV",Original,1/6/2015,1/8/2015,Consumer Electronics Association
500012961,Grace Koh,"Upton, Fred",MI,6,2015,"Las Vegas, NV",Original,1/6/2015,1/8/2015,Consumer Electronics Association
500012962,David Redl,"Upton, Fred",MI,6,2015,"Las Vegas, NV",Original,1/6/2015,1/8/2015,Consumer Electronics Association
500012963,Kelsey Guyselman,"Upton, Fred",MI,6,2015,"Las Vegas, NV",Original,1/6/2015,1/8/2015,Consumer Electronics Assocation
500012964,Greta H. Joynes,"Shimkus, John",IL,15,2015,"Las Vegas, NV",Original,1/6/2015,1/8/2015,Consumer Electronics Association
500012965,Christopher Grant,"Collins, Chris",NY,27,2015,"Las Vegas, NV",Original,1/6/2015,1/8/2015,Consumer Electronics Association
500012966,Christopher Randle,"Bass, Karen",CA,37,2015,"Las Vegas, NV",Original,1/7/2015,1/9/2015,Consumer Electronics Association
500012967,Joseph Russo,"Goodlatte, Bob",VA,6,2015,"Las Vegas, NV",Original,1/6/2015,1/8/2015,Consumer Electronics Association
500012968,Emily Buckman,"Guthrie, Brett",KY,2,2015,"New York, NY",Original,1/11/2015,1/12/2015,National Retail Federation
500012969,Emmanual Guillory,"Barton, Joe",TX,6,2015,"Las Vegas, NV",Original,1/6/2015,1/8/2015,Consumer Electronics Association
500012970,Olivia Trusty,"Upton, Fred",MI,6,2015,"New York, NY",Original,1/11/2015,1/11/2015,National Retail Federation
500012972,Patrick Leopold,"Jenkins, Lynn",KS,2,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500012973,Jeff Shockey,"Nunes, Devin",CA,22,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Insitute
500012974,Gary Andres,"Upton, Fred",MI,6,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500012975,Christopher Bertram,"Shuster, Bill",PA,9,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500012976,Brandon Renz,"Foxx, Virginia",NC,5,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500012977,Scott Graves,"Conaway, K.",TX,11,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500012978,Thomas P. Sheehy,"Royce, Edward",CA,39,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500012979,Andrew Kent,"Dent, Charles",PA,15,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500012981,Viva Hammer,"Ryan, Paul",WI,1,2015,"New York, NY",Original,1/7/2015,1/11/2015,Practising Law Institute
500012982,Andrew Malcolm,"Walden, Greg",OR,2,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500012983,Jaclyn Louis,"Marino, Tom",PA,10,2015,"Las Vegas, NV",Amendment,1/5/2015,1/8/2015,Consumer Electronics Association
500012984,Douglas Menorca,"Messer, Luke",IN,6,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500012985,Sean Moran,"Miller, Candice S.",MI,10,2015,"Hershey, PA",Original,1/14/2015,1/15/2015,The Congressional Institute
500012986,Ellen Dargie,"Issa, Darrell",CA,49,2015,"Las Vegas, NV",Amendment,1/6/2015,1/8/2015,Consumer Electronics Association
500012988,Hugh Halpern,"Sessions, Pete",TX,32,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500012989,Philip Kiko,"Gowdy, Trey",SC,4,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500012991,William E. Smith,"Rogers, Harold",KY,5,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500012992,Brett Horton,"Scalise, Steve",LA,1,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500012993,Eric Zulkosky,"Scalise, Steve",LA,1,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500012994,Bart Reising,"Scalise, Steve",LA,1,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500012995,William Hughes,"Scalise, Steve",LA,1,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500012996,Lynnel Ruckert,"Scalise, Steve",LA,1,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500012997,Moira B. Smith,"Scalise, Steve",LA,1,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500012998,Parker H. Poling,"McHenry, Patrick",NC,10,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500012999,Matthew Bravo,"Scalise, Steve",LA,1,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500013000,Amy Porter,"Royce, Edward",CA,39,2015,"Hershey, PA",Original,1/14/2015,1/15/2015,The Congressional Institute
500013001,Nicolas Magallanes,"McMorris Rodgers, Cathy",WA,5,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500013002,Amy Reagan,"McMorris Rodgers, Cathy",WA,5,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500013003,Jeremy Deutsch,"McMorris Rodgers, Cathy",WA,5,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500013004,Shaughnessy Murphy,"McMorris Rodgers, Cathy",WA,5,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500013005,Kimberly Betz,"McMorris Rodgers, Cathy",WA,5,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500013006,Nate Hodson,"McMorris Rodgers, Cathy",WA,5,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500013007,David Peluso,"McMorris Rodgers, Cathy",WA,5,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500013008,Riva Litman,"McMorris Rodgers, Cathy",WA,5,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500013009,Robert Simmons,"Thornberry, Mac",TX,13,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500013014,Cindy Herrle,"Boehner, John A.",OH,8,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500013015,David Stewart,"Boehner, John A.",OH,8,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500013016,Trevor Kolego,"Boehner, John A.",OH,8,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500013017,Charlotte Ivancic,"Boehner, John A.",OH,8,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500013018,Brad Bailey,"Boehner, John A.",OH,8,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500013019,Tom Andrews,"Boehner, John A.",OH,8,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500013020,Mike Sommers,"Boehner, John A.",OH,8,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500013021,Kelly Craven,"Boehner, John A.",OH,8,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500013022,Anne Thorsen,"Boehner, John A.",OH,8,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500013023,Ryan Day,"Boehner, John A.",OH,8,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500013024,Michael Steel,"Boehner, John A.",OH,8,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Insitute
500013025,Annie Palisi,"Boehner, John A.",OH,8,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500013026,Kevin Smith,"Boehner, John A.",OH,8,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500013027,Jo-Marie St. Martin,"Boehner, John A.",OH,8,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500013028,Mattie Duppler,"McMorris Rodgers, Cathy",WA,5,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500013031,Jennifer Brown,"Smith, Lamar",TX,21,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500013032,Shannon McGahn,"Hensarling, Jeb",TX,5,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500013033,Tim Berry,"McCarthy, Kevin",CA,23,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500013034,Rob Borden,"McCarthy, Kevin",CA,23,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500013035,Neil Bradley,"McCarthy, Kevin",CA,23,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500013036,Natalie Buchanan,"McCarthy, Kevin",CA,23,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500013037,Danielle Burr,"McCarthy, Kevin",CA,23,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500013038,Kelly Dixon,"McCarthy, Kevin",CA,23,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500013039,Mike Franc,"McCarthy, Kevin",CA,23,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500013040,Ben Howard,"McCarthy, Kevin",CA,23,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500013041,Mike Long,"McCarthy, Kevin",CA,23,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500013042,James Min,"McCarthy, Kevin",CA,23,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500013043,Emily Murry,"McCarthy, Kevin",CA,23,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
500013044,Matt Sparks,"McCarthy, Kevin",CA,23,2015,"Hershey, PA",Original,1/14/2015,1/16/2015,The Congressional Institute
