Doc ID,Filer Name,Member Name,State,District,Year,Destination,Filing Type,Departure Date,Return Date,Travel Sponsor
500008570,Samantha Jill Sher,"Richmond, Cedric",LA,2,2013,"Las Vegas, NV",Original,1/8/2013,1/10/2013,Consumer Electronics Association
500008571,Emmanual Guillory,"Barton, Joe",TX,6,2013,"Las Vegas, NV",Original,1/7/2013,1/9/2013,Consumer Electronics Association
500008572,Samantha Sher,"Richmond, Cedric",LA,2,2013,"Las Vegas, NV",Amendment,1/8/2013,1/10/2013,Consumer Electronics Association
500008573,Megan Spindel,"Guthrie, Brett",KY,2,2013,"Las Vegas, NV",Original,1/8/2013,1/10/2013,Consumer Electronics Association
500008574,Joel David Grossman,"Eshoo, Anna",CA,18,2013,"Las Vegas, NV",Original,1/8/2013,1/10/2013,Consumer Electronics Association
500008575,Ian Blue,"Thompson, Mike",CA,5,2013,"Las Vegas, NV",Original,1/8/2013,1/11/2013,Consumer Electronics Association
500008576,Austin Weatherford,"Kinzinger, Adam",IL,16,2013,"Las Vegas, NV",Original,1/9/2013,1/11/2013,Consumer Electronics Association
500008578,Michael Calvo,"Gingrey, Phil",GA,11,2013,"Las Vegas, NV",Original,1/8/2013,1/10/2013,Consumer Electronics Association
500008579,Diane Rinaldo,"Rogers, Mike",AL,3,2013,"Las Vegas, NV",Original,1/8/2013,1/10/2013,CEA
500008580,Sarah Whiting,"Olson, Pete",TX,22,2013,"Las Vegas, NV",Original,1/8/2013,1/10/2013,Consumer Electronics Association
500008581,Kenneth DeGraff,"Pelosi, Nancy",CA,12,2013,"Las Vegas, NV",Original,1/7/2013,1/9/2013,Consumer Electronics Association
500008582,Jaclyn Louis,"Chabot, Steve",OH,1,2013,"Las Vegas, NV",Original,1/8/2013,1/11/2013,Consumer Electronics Association
500008583,Isaac Lanier Avant,"Thompson, Bennie",MS,2,2013,"Las Vegas, NV",Original,1/9/2013,1/11/2013,Consumer Electronics Association (CEA)
500008585,Betty McCollum,"McCollum, Betty",MN,4,2013,"Casablanca, Morocco",Original,1/6/2013,1/11/2013,"The German Marshall Fund of the United States, The Robert Bosch Stiftung"
500008585,Betty McCollum,"McCollum, Betty",MN,4,2013,"Rabat, Morocco",Original,1/6/2013,1/11/2013,"The German Marshall Fund of the United States, The Robert Bosch Stiftung"
500008586,Alexandria Tindall,"Watt, Melvin L.",NC,12,2013,"Las Vegas, NV",Original,1/7/2013,1/9/2013,Consumer Electronics Association
500008587,Zoe Lofgren,"Lofgren, Zoe",CA,19,2013,"Las Vegas, NV",Original,1/8/2013,1/8/2013,Consumer Electronics Association
500008588,David P. Roe,"Roe, David",TN,1,2013,"Ft. Lauderdale, FL",Original,1/11/2013,1/13/2013,Alliance for Health Reform
500008593,Thomas Price,"Price, Tom",GA,6,2013,"Ft. Lauderdale, FL",Original,1/11/2013,1/13/2013,Alliance for Health Reform funded through a grant from the Commonwealth Fund
500008594,Nicole Gustafson,"Cantor, Eric",VA,7,2013,"Las Vegas, NV",Original,1/7/2013,1/9/2013,Consumer Electronics Association
500008595,Frank Lucas,"Lucas, Frank",OK,3,2013,"Casablanca, Morocco",Original,1/6/2013,1/12/2013,"The German Marshall Fund of the United States, The Robert Bosch Stiftung"
500008595,Frank Lucas,"Lucas, Frank",OK,3,2013,"Rabat, Morocco",Original,1/6/2013,1/12/2013,"The German Marshall Fund of the United States, The Robert Bosch Stiftung"
500008596,Taylor Booth,"Whitfield, Ed",KY,1,2013,"Las Vegas, NV",Original,1/8/2013,1/10/2013,Consumer Electronics Association
500008597,Charles Michael Weems,"Barton, Joe",TX,6,2013,"Las Vegas, NV",Original,1/8/2013,1/10/2013,CEA
