DocID,FilerName,MemberName,Sate,District,Year,Destination,Filing Type,Departure Date,Return Date,Travel Sponsor
500018605,Yuri Beckelman,"Takano, Mark",CA,41,2018,"Las Vegas, NV",Original,1/10/2018,1/12/2018,Consumer Technology Association
500018606,Dao Nguyen,"Murphy, Stephanie",FL,7,2018,"Las Vegas, NV",Original,1/10/2018,1/12/2018,Consumer Technology Association
500018607,Will Hurd,"Hurd, Will",TX,23,2018,"Las Vegas, NV",Original,1/11/2018,1/13/2018,Consumer Technology Association
500018608,Joe Keeley,"Goodlatte, Bob",VA,6,2018,"Las Vegas, NV",Original,1/9/2018,1/11/2018,Consumer Technology Association
500018609,Lauren McCarty,"Walden, Greg",OR,2,2018,"Las Vegas, NV",Original,1/8/2018,1/10/2018,Consumer Technology Association
500018610,Adam Buckalew,"Walden, Greg",OR,2,2018,"Las Vegas, NV",Original,1/10/2018,1/12/2018,Consumer Technology Association
500018611,Bijan Koohmaraie,"Walden, Greg",OR,2,2018,"Las Vegas, NV",Original,1/9/2018,1/11/2018,Consumer Technology Association
500018612,Timothy Kurth,"Walden, Greg",OR,2,2018,"Las Vegas, NV",Original,1/8/2018,1/10/2018,Consumer Technology Association
500018615,Ross Olchyk,"Long, Billy",MO,7,2018,"Las Vegas, NV",Original,1/11/2018,1/13/2018,Consumer Technology Association
500018616,Robert M. Rische III,"Issa, Darrell",CA,49,2018,"Las Vegas, NV",Original,1/10/2018,1/12/2018,Consumer Technology Association
500018617,Darrell Issa,"Issa, Darrell",CA,49,2018,"Las Vegas, NV",Original,1/11/2018,1/13/2018,Consumer Technology Association
500018619,Paul A. Jackson,"Walden, Greg",OR,2,2018,"Las Vegas, NV",Original,1/8/2018,1/10/2018,Consumer Technology Association
500018620,Tiffany Angulo,"Schweikert, David",AZ,6,2018,"Las Vegas, NV",Original,1/9/2018,1/12/2018,Consumer Technology Association
500018621,Billy Long,"Long, Billy",MO,7,2018,"Las Vegas, NV",Original,1/11/2018,1/13/2018,Consumer Technology Association
500018622,Nanette Barragan,"Barragan, Nanette",CA,44,2018,"Las Vegas, NV",Original,1/11/2018,1/13/2018,Consumer Technology Association
500018623,Darrell Issa,"Issa, Darrell",CA,49,2018,"Las Vegas, NV",Original,1/11/2018,1/13/2018,Consumer Technology Association
500018624,Emily Duhovny,"Tonko, Paul",NY,20,2018,"Las Vegas, NV",Original,1/8/2018,1/10/2018,Consumer Technology Association
500018625,Benjamin Elleson,"Long, Billy",MO,7,2018,"Las Vegas, NV",Original,1/11/2018,1/13/2018,Consumer Technology Association
500018626,Brian Looser,"Shimkus, John",IL,15,2018,"Las Vegas, NV",Original,1/10/2018,1/12/2018,Consumer Technology Association
500018627,Madeline Vey,"Latta, Robert",OH,5,2018,"Las Vegas, NV",Original,1/9/2018,1/11/2018,Consumer Technology Association
500018628,Rachel Schwegman,"Latta, Robert",OH,5,2018,"Las Vegas, NV",Original,1/9/2018,1/11/2018,Consumer Technology Association
