Doc ID,Filer Name,Member Name,State,District,Year,Destination,Filing Type,Departure Date,Return Date,Travel Sponsor
500010938,Elaine Acevedo,"Ellmers, Renee L.",NC,2,2014,"New York, NY",Original,1/12/2014,1/13/2014,National Retail Federation
500010942,Jamie Fasteau,"Miller, George",CA,11,2014,"Edmonton, Canada",Original,1/13/2014,1/16/2014,Natural Public Education Support Fund
500010943,Charles Dent,"Dent, Charles",PA,15,2014,"New York, NY",Original,1/20/2014,1/21/2014,US Association of Former Members of Congress
500010944,Rosemary Lahasky,"Kline, John",MN,2,2014,"Witchita, KS",Original,1/16/2014,1/18/2014,Jobs for the Future
500010947,Jacque Chevalier,"Miller, George",CA,11,2014,"Wichita, KS",Original,1/16/2014,1/17/2014,Jobs for the Future
500010948,Kelly Hastings,"Barletta, Lou",PA,11,2014,"Wichita, KS",Original,1/16/2014,1/18/2014,"Jobs for the Future
The Joyce Foundation"
500010949,Amy Porter,"Royce, Edward",CA,39,2014,"Addis Ababa, Ethiopia",Original,1/19/2014,1/24/2014,"Cooperative for Assistance and Relief Everywhere, Inc"
500010950,Sheila Jackson Lee,"Jackson Lee, Sheila",TX,18,2014,"Nashville, TN",Original,1/17/2014,1/19/2014,Center City Production
500010951,Joshua Rogin,"Deutch, Theodore",FL,22,2014,"Addis Ababa, Ethiopia",Original,1/19/2014,1/24/2014,Cooperative for Assistance and Relief Everywhere (CARE)
500010951,Joshua Rogin,"Deutch, Theodore",FL,22,2014,"Dire Dawa, Ethiopia",Original,1/19/2014,1/24/2014,Cooperative for Assistance and Relief Everywhere (CARE)
500010951,Joshua Rogin,"Deutch, Theodore",FL,22,2014,"Hawassa, Ethiopia",Original,1/19/2014,1/24/2014,Cooperative for Assistance and Relief Everywhere (CARE)
500010952,Brian Rell,"Aderholt, Robert",AL,4,2014,"Addis Ababa, Ethiopia",Original,1/19/2014,1/24/2014,"Cooperative for Assistance and Relief Everywhere, Inc. (CARE)"
500010952,Brian Rell,"Aderholt, Robert",AL,4,2014,"Dire Dawa, Ethiopia",Original,1/19/2014,1/24/2014,"Cooperative for Assistance and Relief Everywhere, Inc. (CARE)"
500010952,Brian Rell,"Aderholt, Robert",AL,4,2014,"Hawassa, Ethiopia",Original,1/19/2014,1/24/2014,"Cooperative for Assistance and Relief Everywhere, Inc. (CARE)"
500010953,Michael R. Turner,"Turner, Michael",OH,10,2014,"Osaka, Japan",Original,1/16/2014,1/24/2014,US-Japan-South Korea Legislative Exchange Program at George Washington University under a grant from
500010954,Lillie Coney,"Jackson Lee, Sheila",TX,18,2014,"Brussels, Belgium",Original,1/21/2014,1/26/2014,"Law, Science, Technology and Society Research Group, Vrije Universiteit Brussel"
500010956,Alexis Covey-Brandt,"Hoyer, Steny",MD,5,2014,"Addis Ababa, Ethiopia",Original,1/19/2014,1/24/2014,Bill and Melinda Gates Foundation
500010956,Alexis Covey-Brandt,"Hoyer, Steny",MD,5,2014,"Dire Dawa, Ethiopia",Original,1/19/2014,1/24/2014,Bill and Melinda Gates Foundation
500010956,Alexis Covey-Brandt,"Hoyer, Steny",MD,5,2014,"Hawassa, Ethiopia",Original,1/19/2014,1/24/2014,Bill and Melinda Gates Foundation
500010957,Gregory Mecher,"Kennedy, Joseph",MA,4,2014,"Tokyo, Japan",Original,1/18/2014,1/25/2014,"U.S. Association of Former Members of Congress and the
Sasakawa Peace Foundation USA"
500010960,Cesar A. Gonzalez,"Diaz-Balart, Mario",FL,25,2014,"Kyoto, Japan",Original,1/18/2014,1/25/2014,U.S.  Association of Former Members of Congress
500010960,Cesar A. Gonzalez,"Diaz-Balart, Mario",FL,25,2014,"Tokyo, Japan",Original,1/18/2014,1/25/2014,U.S.  Association of Former Members of Congress
500010961,F. James Sensenbrenner,"Sensenbrenner, F.",WI,5,2014,"Tokyo, Japan",Original,1/18/2014,1/23/2014,US-Japan-South Korea Legislative Exchange at GWU
500010962,Alexa Eva Marrero,"Upton, Fred",MI,6,2014,"Kyoto, Japan",Original,1/18/2014,1/25/2014,U.S. Association of Former Members of Congress
500010962,Alexa Eva Marrero,"Upton, Fred",MI,6,2014,"Tokyo, Japan",Original,1/18/2014,1/25/2014,U.S. Association of Former Members of Congress
500010963,Melissa Gierach,"Ross, Dennis",FL,15,2014,"Las Vegas, NV",Original,1/8/2014,1/12/2014,Consumer Electronics Association
