DocID,FilerName,MemberName,Sate,District,Year,Destination,Filing Type,Departure Date,Return Date,Travel Sponsor
500017296,Sam Fletcher,"Lamborn, Doug",CO,5,2017,"Dublin, Ireland",Original,4/17/2017,4/20/2017,Woodrow Wilson International Center for Scholars
500017297,Lauren McCarty,"Walden, Greg",OR,2,2017,"Las Vegas, NV",Original,4/23/2017,4/25/2017,National Association of Broadcasters
500017298,A. Lee Lonsberry,"Bishop, Rob",UT,1,2017,"Las Vegas, NV",Original,4/23/2017,4/25/2017,National Association of Broadcasters
500017299,Kathy Valle,"Scott, Robert",VA,3,2017,"Warrenton, VA",Original,4/19/2017,4/20/2017,Postsecondary National Policy Institute
500017300,Kelsey Guyselman,"Walden, Greg",OR,2,2017,"Las Vegas, NV",Original,4/23/2017,4/25/2017,National Association of Broadcasters
500017301,Giulia Giannangeli,"Walden, Greg",OR,2,2017,"Las Vegas, NV",Original,4/23/2017,4/25/2017,National Association of Broadcasters
500017302,Cassie Boehm,"Rice, Tom",SC,7,2017,"Las Vegas, NV",Original,4/23/2017,4/25/2017,National Association of Broadcasters
500017303,Miranda Lutz,"Royce, Edward",CA,39,2017,"Boston, MA",Original,4/19/2017,4/21/2017,Massachusetts Institute of Technology
500017304,Tim Reitz,"Hice, Jody",GA,10,2017,"Aiken, SC",Original,4/14/2017,4/21/2017,SRS Community Reuse Organization
500017304,Tim Reitz,"Hice, Jody",GA,10,2017,"Augusta, GA",Original,4/14/2017,4/21/2017,SRS Community Reuse Organization
500017305,Aaron Allen,"Vargas, Juan",CA,51,2017,"Dublin, Ireland",Original,4/17/2017,4/20/2017,Woodrow Wilson International Center for Scholars
500017306,Michael Gossum,"Comer, James",KY,1,2017,"Las Vegas, NV",Original,4/23/2017,4/25/2017,National Association of Broadcasters
500017307,Kendra Brown,"Evans, Dwight",PA,2,2017,"San Francisco, CA",Original,4/18/2017,4/20/2017,Hoover Institution
500017308,Tamara Edwards,"Kinzinger, Adam",IL,16,2017,"Las Vegas, NV",Original,4/23/2017,4/25/2017,National Association of Broadcasters
500017309,Yvesner Zamar,"Conyers, John",MI,13,2017,"Las Vegas, NV",Original,4/23/2017,4/25/2017,National Association of Broadcasters
