,Doc.ID,Filer.Name,Member.Name,State,District,Year,Destination,Filing.Type,Departure.Date,Return.Date,Travel.Sponsor
4227,500011441,Bradley Bailey,"Boehner, John A.",OH,8,2014,"Ankara, Turkey",Original,2014-03-14,2014-03-22,Turkic American Federation of Midwest
4228,500011441,Bradley Bailey,"Boehner, John A.",OH,8,2014,"Istanbul, Turkey",Original,2014-03-14,2014-03-22,Turkic American Federation of Midwest
4229,500011441,Bradley Bailey,"Boehner, John A.",OH,8,2014,"Izmir, Turkey",Original,2014-03-14,2014-03-22,Turkic American Federation of Midwest
4230,500011442,Keith Ellison,"Ellison, Keith",MN,5,2014,"Washington, DC",Original,2014-03-22,2014-03-23,ABC News
4231,500011443,Karl Ahlgren,"Mullin, Markwayne",OK,2,2014,"HaGoshrim, Israel",Original,2014-03-15,2014-03-23,AIEF
4232,500011443,Karl Ahlgren,"Mullin, Markwayne",OK,2,2014,"Jerusalem, Israel",Original,2014-03-15,2014-03-23,AIEF
4233,500011443,Karl Ahlgren,"Mullin, Markwayne",OK,2,2014,"Tel Aviv, Israel",Original,2014-03-15,2014-03-23,AIEF
4234,500011444,Charles Boustany,"Boustany, Charles W.",LA,3,2014,"Beijing, China",Original,2014-03-15,2014-03-23,National Committee on U.S. China relations
4235,500011444,Charles Boustany,"Boustany, Charles W.",LA,3,2014,"Guanzhou, China",Original,2014-03-15,2014-03-23,National Committee on U.S. China relations
4236,500011444,Charles Boustany,"Boustany, Charles W.",LA,3,2014,"Hong Kong, China",Original,2014-03-15,2014-03-23,National Committee on U.S. China relations
4237,500011444,Charles Boustany,"Boustany, Charles W.",LA,3,2014,"Xi'an, China",Original,2014-03-15,2014-03-23,National Committee on U.S. China relations
4238,500011445,Reid J. Ribble,"Ribble, Reid J.",WI,8,2014,"Anaheim, CA",Original,2014-03-20,2014-03-23,"RCI, Inc."
4239,500011446,Mike Quigley,"Quigley, Mike",IL,5,2014,"Beijing, China",Original,2014-03-15,2014-03-23,National Committee on US-China Relations
4240,500011446,Mike Quigley,"Quigley, Mike",IL,5,2014,"Guanzhou, China",Original,2014-03-15,2014-03-23,National Committee on US-China Relations
4241,500011446,Mike Quigley,"Quigley, Mike",IL,5,2014,"Hong Kong, China",Original,2014-03-15,2014-03-23,National Committee on US-China Relations
4242,500011446,Mike Quigley,"Quigley, Mike",IL,5,2014,"Xi'an, China",Original,2014-03-15,2014-03-23,National Committee on US-China Relations
4243,500011447,Jennifer Cox,"Barber, Ron",AZ,2,2014,"Hagoshrim, Israel",Original,2014-03-15,2014-03-23,American Israel Education Foundation
4244,500011447,Jennifer Cox,"Barber, Ron",AZ,2,2014,"Jerusalem, Israel",Original,2014-03-15,2014-03-23,American Israel Education Foundation
4245,500011447,Jennifer Cox,"Barber, Ron",AZ,2,2014,"Tel Aviv, Israel",Original,2014-03-15,2014-03-23,American Israel Education Foundation
4246,500011457,Rick Larsen,"Larsen, Rick",WA,2,2014,"Beijing, China",Original,2014-03-17,2014-03-23,National Committee on US-China Relations
4247,500011457,Rick Larsen,"Larsen, Rick",WA,2,2014,"Guangzhou, China",Original,2014-03-17,2014-03-23,National Committee on US-China Relations
4248,500011457,Rick Larsen,"Larsen, Rick",WA,2,2014,"Hong Kong, China",Original,2014-03-17,2014-03-23,National Committee on US-China Relations
4249,500011457,Rick Larsen,"Larsen, Rick",WA,2,2014,"Xi'an, China",Original,2014-03-17,2014-03-23,National Committee on US-China Relations
4250,500011458,Terra Sabag,"Larsen, Rick",WA,2,2014,"Beijing, China",Original,2014-03-17,2014-03-23,National Committee on US-China Relations
4251,500011458,Terra Sabag,"Larsen, Rick",WA,2,2014,"Guangzhou, China",Original,2014-03-17,2014-03-23,National Committee on US-China Relations
4252,500011458,Terra Sabag,"Larsen, Rick",WA,2,2014,"Hong Kong, China",Original,2014-03-17,2014-03-23,National Committee on US-China Relations
4253,500011458,Terra Sabag,"Larsen, Rick",WA,2,2014,"Xi'an, China",Original,2014-03-17,2014-03-23,National Committee on US-China Relations
4254,500011459,Patrick Leopold,"Jenkins, Lynn",KS,2,2014,"HaGoshrim, Israel",Original,2014-03-15,2014-03-23,American Israel Education Foundation
4255,500011459,Patrick Leopold,"Jenkins, Lynn",KS,2,2014,"Jerusalem, Israel",Original,2014-03-15,2014-03-23,American Israel Education Foundation
4256,500011459,Patrick Leopold,"Jenkins, Lynn",KS,2,2014,"Tel Aviv, Israel",Original,2014-03-15,2014-03-23,American Israel Education Foundation
4257,500011460,Reed Adamson,"Schneider, Bradley",IL,10,2014,"HaGoshrim, Israel",Original,2014-03-15,2014-03-23,American Israel Education Foundation
4258,500011460,Reed Adamson,"Schneider, Bradley",IL,10,2014,"Jerusalem, Israel",Original,2014-03-15,2014-03-23,American Israel Education Foundation
4259,500011460,Reed Adamson,"Schneider, Bradley",IL,10,2014,"Tel Aviv, Israel",Original,2014-03-15,2014-03-23,American Israel Education Foundation
4260,500011461,Eric Bohl,"Hartzler, Vicky",MO,4,2014,"HaGoshrim, Israel",Original,2014-03-15,2014-03-23,American Israel Education Foundation
4261,500011461,Eric Bohl,"Hartzler, Vicky",MO,4,2014,"Jerusalem, Israel",Original,2014-03-15,2014-03-23,American Israel Education Foundation
4262,500011461,Eric Bohl,"Hartzler, Vicky",MO,4,2014,"Tel Aviv, Israel",Original,2014-03-15,2014-03-23,American Israel Education Foundation
4263,500011462,Richard Oliver Schwab,"Schweikert, David",AZ,6,2014,"HaGoshrim, Israel",Original,2014-03-15,2014-03-23,American Israel Education Foundation (AIEF)
4264,500011462,Richard Oliver Schwab,"Schweikert, David",AZ,6,2014,"Jerusalem, Israel",Original,2014-03-15,2014-03-23,American Israel Education Foundation (AIEF)
4265,500011462,Richard Oliver Schwab,"Schweikert, David",AZ,6,2014,"Tel Aviv, Israel",Original,2014-03-15,2014-03-23,American Israel Education Foundation (AIEF)
4266,500011463,Juan Hinojosa,"Quigley, Mike",IL,5,2014,"HaGoshrim, Israel",Original,2014-03-15,2014-03-23,American Israel Education Foundation
4267,500011463,Juan Hinojosa,"Quigley, Mike",IL,5,2014,"Jerusalem, Israel",Original,2014-03-15,2014-03-23,American Israel Education Foundation
4268,500011463,Juan Hinojosa,"Quigley, Mike",IL,5,2014,"Tel Aviv, Israel",Original,2014-03-15,2014-03-23,American Israel Education Foundation
4269,500011464,Carmen Gallus,"Kirkpatrick, Ann",AZ,1,2014,"HaGoshrim, Israel",Original,2014-03-15,2014-03-23,AIEF
4270,500011464,Carmen Gallus,"Kirkpatrick, Ann",AZ,1,2014,"Jerusalem, Israel",Original,2014-03-15,2014-03-23,AIEF
4271,500011464,Carmen Gallus,"Kirkpatrick, Ann",AZ,1,2014,"Tel Aviv, Israel",Original,2014-03-15,2014-03-23,AIEF
4272,500011465,Jessica Vanden Berg,"Gabbard, Tulsi",HI,2,2014,"HaGoshrim, Israel",Original,2014-03-22,2014-03-30,AIEF
