DocID,FilerName,MemberName,Sate,District,Year,Destination,Filing Type,Departure Date,Return Date,Travel Sponsor
500006929,Austin Scott,"Scott, Austin",GA,8,2012,"Taipei, Taiwan",Original,1/2/2012,1/9/2012,Fu Jen Catholic University
500006930,John B. Reising,"Scott, Austin",GA,8,2012,"Taipei, Taiwan",Original,1/2/2012,1/9/2012,Fu Jen Catholic University
500006931,Jessica Robertson,"Scott, Austin",GA,8,2012,"Taipei, Taiwan",Original,1/2/2012,1/9/2012,Fu Jen Catholic University
500006933,Joseph Sheehy,"Napolitano, Grace",CA,32,2012,"Las Vegas, NV",Original,1/10/2012,1/12/2012,Consumer Electronics Association
500006937,Angela T. Rye,"Cleaver, Emanuel",MO,5,2012,"Las Vegas, NV",Original,1/9/2012,1/12/2012,Consumer Electronics Association
500006938,Joseph Wender,"Markey, Edward J.",MA,5,2012,"Las Vegas, NV",Original,1/10/2012,1/12/2012,Consumer Electronics Association
500006939,Bobby Cornett,"Franks, Trent",AZ,8,2012,"Las Vegas, NV",Original,1/9/2012,1/11/2012,Consumer Electronics Association
500006942,Virgil A. Miller,"Richmond, Cedric",LA,2,2012,"Las Vegas, NV",Original,1/10/2012,1/13/2012,Consumer Electronics Association
500006944,David Skillman,"Blumenauer, Earl",OR,3,2012,"Denver, CO",Original,1/11/2012,1/13/2012,Alliance To Save Energy
500006945,I. Lanier Avant,"Thompson, Bennie",MS,2,2012,"Las Vegas, NV",Original,1/11/2012,1/13/2012,"Consumer Electronics Association (""CES"")"
500006946,Benjamin Staub,"Conyers, John",MI,13,2012,"Las Vegas, NV",Original,1/9/2012,1/11/2012,Consumer Electronics Association
500006947,Megan Spindel,"Guthrie, Brett",KY,2,2012,"Las Vegas, NV",Original,1/10/2012,1/12/2012,Consumer Electronics Association
500006949,Austin Weatherford,"Kinzinger, Adam",IL,16,2012,"Las Vegas, NV",Original,1/9/2012,1/11/2012,Consumer Electronic Association
500006950,Brooke Ericson,"Stearns, Cliff",FL,6,2012,"Las Vegas, NV",Original,1/10/2012,1/12/2012,Consumer Electronics Association
500006951,Joshua Baggett,"Kinzinger, Adam",IL,16,2012,"Las Vegas, NV",Original,1/10/2012,1/12/2012,Consumer Electronics Association
500006952,"Evan H. Bergwall, III","Stearns, Cliff",FL,6,2012,"Las Vegas, NV",Original,1/10/2012,1/12/2012,Consumer Electronics Association
500006955,Michael Beckerman,"Upton, Fred",MI,6,2012,"Las Vegas, NV",Original,1/11/2012,1/13/2012,Consumer Electronics Association
500006956,Jason Everett,"Conyers, John",MI,13,2012,"Las Vegas, NV",Original,1/9/2012,1/11/2012,Consumer Electronics Association
500006958,Philip S. Barnett,"Waxman, Henry A.",CA,33,2012,"Las Vegas, NV",Original,1/10/2012,1/12/2012,Consumer Electronics Association
500006960,Joel David Grossman,"Eshoo, Anna",CA,18,2012,"Las Vegas, NV",Original,1/10/2012,1/12/2012,Consumer Electronics Association
500006961,Jacob Oster,"Welch, Peter",VT,0,2012,"Denver, CO",Original,1/11/2012,1/13/2012,Alliance to Save Energy
500006962,Jocelyn M. Griffin,"Johnson, Henry",GA,4,2012,"Las Vegas, NV",Original,1/10/2012,1/12/2012,Consumer Electronics Association
500006963,Norberto Salinas,"Conyers, John",MI,13,2012,"Las Vegas, NV",Original,1/7/2012,1/11/2012,Consumer Electronics Association
500006964,Joel David Grossman,"Eshoo, Anna",CA,18,2012,"Las Vegas, NV",Original,1/10/2012,1/12/2012,Consumer Electronics Association
500006965,Norberto Salinas,"Conyers, John",MI,13,2012,"Las Vegas, NV",Original,1/7/2012,1/11/2012,Consumer Electronics Association
500006966,Lee Terry,"Terry, Lee",NE,2,2012,"Las Vegas, NV",Original,1/10/2012,1/12/2012,Consumer Electronics Association (CEA)
500006967,Robert Cogan,"Black, Diane",TN,6,2012,"Nashville, TN",Original,1/18/2012,1/21/2012,The Aspen Institute Education and Society Program
500006968,Tiffany McGuffee,"Roe, David",TN,1,2012,"Nashville, TN",Original,1/18/2012,1/20/2012,Aspen Institute
500006969,Aaron Cutler,"Upton, Fred",MI,6,2012,"Las Vegas, NV",Original,1/11/2012,1/13/2012,Consumer Electronics Association
500006970,Terri Glaze,"Eshoo, Anna",CA,18,2012,"Las Vegas, NV",Original,1/10/2012,1/12/2012,Consumer Electronics Association
500006971,Margaret Tipton,"Blackburn, Marsha",TN,7,2012,"Nashville, TN",Original,1/18/2012,1/22/2012,Aspen Institute Education and Society Program
500006984,Eleanor Bastian,"DeGette, Diana",CO,1,2012,"Denver, CO",Original,1/11/2012,1/13/2012,Alliance to Save Energy
500006985,Zack Marshall,"Cooper, Jim",TN,5,2012,"Nashville, TN",Original,1/18/2012,1/20/2012,The Aspen Institute Education and Society Program
500006986,Bob Filner,"Filner, Bob",CA,51,2012,"Ho Chi Minh City, Vietnam",Original,1/3/2012,1/12/2012,"International Association of Democratic Lawyers and the Vietnam Association of Victims of
 Agent Ora"
500006987,Greta H. Joynes,"Shimkus, John",IL,15,2012,"Las Vegas, NV",Original,1/9/2012,1/13/2012,Consumer Electronics Association
500006989,Lars S. Hydle,"Towns, Edolphus",NY,10,2012,"Las Vegas, NV",Original,1/10/2012,1/12/2012,Consumer Electronics Association
500006990,John Mautz,"Coble, Howard",NC,6,2012,"Las Vegas, NV",Original,1/9/2012,1/12/2012,Consumer Electronics Association
500006991,Gary Andres,"Upton, Fred",MI,6,2012,"Baltimore, MD",Original,1/19/2012,1/21/2012,Congressional Institute
500006992,Jim McDermott,"McDermott, Jim",WA,7,2012,"Tokyo, Japan",Original,1/10/2012,1/13/2012,US/Japan - South Korea Legislative Exchange Program
500006993,Wyatt Stewart,"Cantor, Eric",VA,7,2012,"Las Vegas, NV",Original,1/11/2012,1/14/2012,Consumer Electronics Association
500006994,Joe Barton,"Barton, Joe",TX,6,2012,"Ft. Lauderdale, FL",Original,1/20/2012,1/22/2012,The Commonwealth Fund and Alliance for Human Reform
